cuisine,ingredient,weight
Tuna Casserole,butter,25g
Tuna Casserole,bread crumbs,55g
Tuna Casserole,Campbell's Creamy Mushroom Soup (or Instant Creamy Mushroom Soup),1 can
Tuna Casserole,milk,125ml
Tuna Casserole,celery,2 stems
Tuna Casserole,red paprika,One
Tuna Casserole,green paprika,One
Tuna Casserole,Chopped Parsley,a little
Tuna Casserole,olive oil,a little
Tuna Casserole,pepper,a little
Tuna Casserole,Cheddar Cheese (Grated),1/2 tablespoon
Whole Pork Belly Oven,whole pork belly,1kg
Whole Pork Belly Oven,Rosemary,2-3 stems
Whole Pork Belly Oven,Peanut Oil (or Cooking Oil),5 tablespoons
Whole Pork Belly Oven,natural salt,0.3 tablespoon
Whole Pork Belly Oven,Chili powder (or cayenne pepper),1-1.5 tablespoons
Whole Pork Belly Oven,chopped garlic,1.5 tablespoons
Whole Pork Belly Oven,soy sauce,4-5 tablespoons
Whole Pork Belly Oven,Peanut Oil (or Cooking Oil),3 tablespoons
Whole Pork Belly Oven,apologize,4-Mar
Whole Pork Belly Oven,carrot,5-Apr
Whole Pork Belly Oven,onion,3-Feb
Whole Pork Belly Oven,potato,5-Mar
Whole Pork Belly Oven,parsnip,3 pieces? ?
Angel Burrito,Tortilla,1 page
Angel Burrito,avocado,3-Jan
Angel Burrito,tomato,3-Jan
Angel Burrito,paprika,2-Jan
Angel Burrito,salami,35g
Angel Burrito,parsley,a little
Angel Burrito,sour cream,Appropriate amount
Angel Burrito,egg,2-Jan
Angel Burrito,butter,2 tablespoons
Angel Burrito,whipped cream (or milk or butter),1 tablespoon
Angel Burrito,Cheddar Cheese (Grated),15g
Potato & Bacon Salad,potato,1kg
Potato & Bacon Salad,bacon,Chapter 5
Potato & Bacon Salad,boiled egg,5 pieces
Potato & Bacon Salad,Herb,a little
Potato & Bacon Salad,parsley,a little
Potato & Bacon Salad,salt,a little
Potato & Bacon Salad,olive oil,3-5 tablespoons
Potato & Bacon Salad,Red wine vinegar (or apple cider vinegar),3 tablespoons
Potato & Bacon Salad,whole grain mustard,1.5 tablespoons
Potato & Bacon Salad,Chives,4-5 roots
Horseradish Pasta,spaghetti noodles,2 servings
Horseradish Pasta,cold sore,handful
Horseradish Pasta,almond,4 eggs
Horseradish Pasta,pistachio,4 eggs
Horseradish Pasta,Clam,15 pieces
Horseradish Pasta,garlic,4 pieces
Horseradish Pasta,olive oil,3 Ts
Horseradish Pasta,salt,1/4 ts
Peanut Soup,potato,2
Peanut Soup,pimento,2
Peanut Soup,carrot,Three
Peanut Soup,green bean,100g
Peanut Soup,curry powder,4-5 tablespoons
Peanut Soup,chili powder,1 tablespoon
Peanut Soup,garlic,0.7 tablespoon
Peanut Soup,ginger,1 tablespoon
Peanut Soup,canned tomatoes,1 bottle
Peanut Soup,chicken broth,1.2 liters
Peanut Soup,salt,0.7 tablespoon
Peanut Soup,pepper,a little
Peanut Soup,Peanut Butter,80g
Peanut Soup,honey,2 tablespoons
Peanut Soup,chicken thighs,4-5 pieces
Peanut Soup,Coriander,a little
Kimchi stew,Kimchi,2 give up
Kimchi stew,pork belly,600g
Kimchi stew,Ginger (Slice),5 pieces
Kimchi stew,Rice wine,2 tablespoons
Kimchi stew,cooking wine,3 tablespoons
Kimchi stew,green onion,5 roots
Kimchi stew,sugar,0.7 tablespoon
Kimchi stew,Anchovy Broth,200 ml
Kimchi stew,Beef Bone Broth,200 ml
Kimchi stew,Kimchi Soup,100ml
seafood paella,rice,1/2 cup
seafood paella,tomato sauce,1 cup
seafood paella,Ring Squid,50g
seafood paella,coffin,50g
seafood paella,Lily,Three
seafood paella,Shrimp meat,50g
seafood paella,crab,1 grain
seafood paella,onion,3-Jan
seafood paella,white wine,1 t
seafood paella,turmeric powder,1 t
seafood paella,olive oil,1T
seafood paella,garlic,1 t
seafood paella,mozzarella cheese,50g
seafood paella,water parsley,a little
seafood paella,water,100ml
seafood paella,pepper,1/3t
rice noodles,Rice Noodles,70g
rice noodles,marbled,100g
rice noodles,bean sprouts,100g
rice noodles,Sesame,1 page
rice noodles,large dried anchovies,50g
rice noodles,dried shiitake mushrooms,2
rice noodles,Dried kelp,pieces
rice noodles,soy sauce,1 t
rice noodles,salt,1 t
rice noodles,pepper,1 t
rice noodles,water,500ml
Flying Fish Roe Tteokbokki,Tteokbokki Rice Cake,150g
Flying Fish Roe Tteokbokki,fish cake,1 page
Flying Fish Roe Tteokbokki,flying fish roe,10g
Flying Fish Roe Tteokbokki,egg,One
Flying Fish Roe Tteokbokki,cheese,1 page
Flying Fish Roe Tteokbokki,paprika,3-Jan
Flying Fish Roe Tteokbokki,onion,3-Jan
Flying Fish Roe Tteokbokki,dried bonito,a little
Flying Fish Roe Tteokbokki,water,400ml
Flying Fish Roe Tteokbokki,white wine,1T
Flying Fish Roe Tteokbokki,chili pepper paste,2T
Flying Fish Roe Tteokbokki,chili powder,2T
Flying Fish Roe Tteokbokki,soy sauce,1/2T
Flying Fish Roe Tteokbokki,sugar,2T
Flying Fish Roe Tteokbokki,Condiment,1/2t
Flying Fish Roe Tteokbokki,pepper,1/3t
Spicy Noodles,carding,150g
Spicy Noodles,Mustard Kimchi,100g
Spicy Noodles,egg,One
Spicy Noodles,Kimchi Soup,1T
Spicy Noodles,chili pepper paste,2T
Spicy Noodles,soy sauce,1T
Spicy Noodles,plum syrup,4T
Spicy Noodles,perilla oil,1/2T
Spicy Noodles,water for boiling eggs,500ml
corn cheese,canned corn,1/3 can
corn cheese,mozzarella cheese,100g
corn cheese,onion,4-Jan
corn cheese,egg plant,4-Jan
corn cheese,milk,100ml
corn cheese,mayonnaise,1 t
corn cheese,mustard sauce,1 tsp
corn cheese,hot sauce,1 t
corn cheese,olive oil,1/2T
corn cheese,almond,1 t
corn cheese,basil,1/4t
Braised Back Ribs,back ribs,300g
Braised Back Ribs,Shiitake mushrooms,One
Braised Back Ribs,New Egg Potatoes,2
Braised Back Ribs,carrot,1/4 piece
Braised Back Ribs,garlic,4 pieces
Braised Back Ribs,radish,50g
Braised Back Ribs,green onion,1/2 root
Braised Back Ribs,soy sauce,3T
Braised Back Ribs,red ginseng liquid,80ml
Braised Back Ribs,half a cup of water,150ml
Braised Back Ribs,plum syrup,3T
Braised Back Ribs,oligosaccharide,3T
Japanese ramen,pork backbone,200g
Japanese ramen,pork belly,100g
Japanese ramen,Ramen Sari,1 serving
Japanese ramen,egg,One
Japanese ramen,Kelp,1 piece
Japanese ramen,water,1.2L
Japanese ramen,coffee powder,2 ts
Japanese ramen,soy sauce,3T
Sweet Potato Soup,sweet potato,200g
Sweet Potato Soup,maple syrup,6 Ts
Sweet Potato Soup,cooking oil,Appropriate amount
Neck Steak,pork neck,250g
Neck Steak,potato,One
Neck Steak,bacon,Chapter 3
Neck Steak,asparagus,One
Neck Steak,Cheddar Cheese (Slice),1/4 sheet
Neck Steak,mozzarella cheese,1Ts
Neck Steak,garlic,6 pieces
Neck Steak,olive oil,2 Ts
Neck Steak,red wine,1 tsp
Neck Steak,basil,1 tsp
Neck Steak,pepper,1/3 ts
Neck Steak,salt,1 tsp
Neck Steak,frozen blueberries,2Ts
Neck Steak,Steak Sauce,1/2 cup
Neck Steak,Oyster Sauce,1 tsp
Bread Rusk,bread,Page 2 (middle)
Bread Rusk,honey powder,1T
Bread Rusk,cinnamon powder,1/2 teaspoon
Bread Rusk,olive oil,1 tsp
Bread Rusk,Almonds (Sliced),1 tsp
Bread Rusk,powdered sugar,1 tsp
chili japchae,pork tenderloin,100 grams
chili japchae,green bell pepper,1/2 pcs.
chili japchae,red bell pepper,1/2 pcs.
chili japchae,orange paprika,1/2 pcs.
chili japchae,green onion,1/2 units
chili japchae,Canned Bamboo Shoots,1/3 cup
chili japchae,egg,One
chili japchae,chili oil,2Ts
chili japchae,soy sauce,1Ts
chili japchae,pepper,1/3 ts
chili japchae,Rice wine,1 tsp
chili japchae,potato starch,1 tsp
chili japchae,Sesame oil,1 tsp
chili japchae,flower bread,2
braised cutlassfish,hairtail,2 pieces
braised cutlassfish,onion,3-Jan
braised cutlassfish,chosun dance,200g
braised cutlassfish,green onion,1 unit
braised cutlassfish,Cheongyang Pepper,One
braised cutlassfish,red ginseng liquid,50ml
braised cutlassfish,water,100ml
braised cutlassfish,chili pepper paste,1 tsp
braised cutlassfish,soy sauce,1Ts
braised cutlassfish,plum syrup,2Ts
braised cutlassfish,chilli powder,2 Ts
braised cutlassfish,fish sauce,1 t
braised cutlassfish,cooking wine,1Ts
braised cutlassfish,chopped garlic,1Ts
braised cutlassfish,pepper,1/3 ts
Tofu Jeot Soup,tofu,1/2 hair
Tofu Jeot Soup,ramie clam,200g
Tofu Jeot Soup,squash,3-Jan
Tofu Jeot Soup,oyster mushroom,1/2 pack
Tofu Jeot Soup,green onion,1/3 root
Tofu Jeot Soup,Cheongyang Pepper,One
Tofu Jeot Soup,salted shrimp,1T
Tofu Jeot Soup,water,500ml
Buckwheat Spicy Noodles,Buckwheat Noodles,100 grams
Buckwheat Spicy Noodles,Young Radish Kimchi,150g
Buckwheat Spicy Noodles,sprout,25g
Buckwheat Spicy Noodles,chili pepper paste,1 tsp
Buckwheat Spicy Noodles,Kimchi Soup,2Ts
Buckwheat Spicy Noodles,chilli powder,1 tsp
Buckwheat Spicy Noodles,soy sauce,1/2 tsp
Buckwheat Spicy Noodles,plum syrup,2Ts
Buckwheat Spicy Noodles,cooking wine,1 tsp
Buckwheat Spicy Noodles,Sesame,1 tsp
Buckwheat Spicy Noodles,perilla oil,1 tsp
doughboy,flour,3 cups
doughboy,Makgeolli,1 cup
doughboy,Frozen Strawberries,1/2 cup
doughboy,salt,1 tsp
doughboy,red bean,2 cups
doughboy,white sugar,4 Ts
doughboy,salt,1 tsp
doughboy,grain syrup,1 cup
doughboy,water,5 cups
Chicken Kalguksu,spirit world,1
Chicken Kalguksu,Kalguksu Noodles,100 grams
Chicken Kalguksu,garlic,Page 3 (middle)
Chicken Kalguksu,angelica,10g
Chicken Kalguksu,oak,1 piece
Chicken Kalguksu,Shiitake mushrooms,One
Chicken Kalguksu,chives,1/2 layer
Chicken Kalguksu,squash,1/3 pcs.
Chicken Kalguksu,water,600ml
Chicken Kalguksu,salt,1/2 Ts
Chicken Kalguksu,pepper,1/3 ts
Daegu Jiritang,daegu,200g
Daegu Jiritang,Daegu Gon,50g
Daegu Jiritang,Clam,100 grams
Daegu Jiritang,water parsley,50g
Daegu Jiritang,Bean sprouts,50g
Daegu Jiritang,chosun dance,50g
Daegu Jiritang,green onion,1/2 units
Daegu Jiritang,water,400ml
Daegu Jiritang,salt,1/2 Ts
Daegu Jiritang,Rice wine,1/2 Ts
potato gratin,potato,2 (small)
potato gratin,mozzarella cheese,100 grams
potato gratin,onion,1/4 piece (large)
potato gratin,milk,150ml
potato gratin,olive oil,1/2 Ts
potato gratin,pepper,1/3 ts
potato gratin,salt,1/2 teaspoon
potato gratin,white wine,1 tsp
potato gratin,basil,1/3 ts
potato gratin,honey,1 tsp
Chicken Steak,chicken leg meat,200g
Chicken Steak,bean sprouts,50g
Chicken Steak,asparagus,1 root
Chicken Steak,tomato,1/2 (medium)
Chicken Steak,whole garlic,8
Chicken Steak,salami,2
Chicken Steak,herb salt,1 tsp
Chicken Steak,pepper,1/3 ts
Chicken Steak,cooking oil,4Ts
Chicken Steak,red wine,100ml
Seasoned Golbaengi Somen,dried somen noodles,150g
Seasoned Golbaengi Somen,Canned Golbaengi,1/2 can (large)
Seasoned Golbaengi Somen,yellow paprika,1/3 pcs.
Seasoned Golbaengi Somen,Sesame,Chapter 2
Seasoned Golbaengi Somen,old paper,100g
Seasoned Golbaengi Somen,cucumber,1/3 (medium)
Seasoned Golbaengi Somen,chili pepper paste,1.5 Ts
Seasoned Golbaengi Somen,soy sauce,1 tsp
Seasoned Golbaengi Somen,chilli powder,1/2 Ts
Seasoned Golbaengi Somen,enzyme solution,2Ts
Seasoned Golbaengi Somen,lemon juice,1 tsp
Seasoned Golbaengi Somen,perilla oil,1 tsp
Cheese Fish Stick,fish stick,8
Cheese Fish Stick,Cheddar Cheese,15g
Cheese Fish Stick,mozzarella cheese,4T
Cheese Fish Stick,basil powder,1/2t
Stir-fried Pepper Potatoes,medium sized potatoes,Three
Stir-fried Pepper Potatoes,Jwali pepper,10g
Stir-fried Pepper Potatoes,Sesame oil,a tablespoon
Stir-fried Pepper Potatoes,dark soy sauce,4 tbsp
Stir-fried Pepper Potatoes,house soy sauce,a tablespoon
Stir-fried Pepper Potatoes,corn syrup,5 tbsp
cream spaghetti,spaghetti noodles,100 grams
cream spaghetti,ramie clam,150g
cream spaghetti,salami,1 page
cream spaghetti,Fresh Cream (Unsweetened),1 cup
cream spaghetti,Cheddar Cheese (Slice),1 page
cream spaghetti,onion,1/4 piece (large)
cream spaghetti,Cheongyang Pepper,One
cream spaghetti,garlic,1 tsp
cream spaghetti,white wine,1 tsp
cream spaghetti,Oyster Sauce,1 tsp
cream spaghetti,olive oil,1 tsp
Chicken Snack Wrap,chicken,4-5 pieces
Chicken Snack Wrap,pepper,2
Chicken Snack Wrap,Cheese Sand Cracker,100g
Chicken Snack Wrap,canned corn,3 Ts
Chicken Snack Wrap,Yakisoba,1Ts
Chicken Snack Wrap,Thousand Island Dressing,2 Ts
Chicken Snack Wrap,olive oil,1 tsp
Chicken Snack Wrap,Tortilla,1 sheet (medium)
flesh,Pork belly (skinned),600g
flesh,cinnamon,2 pieces
flesh,oak slices,2 pieces
flesh,angelica,1/3 pcs.
flesh,red ginseng liquid,1Ts
flesh,green onion,1 unit
flesh,coffee powder,1 tsp
flesh,white kimchi,1/4 give up
flesh,young leaves,wisp
flesh,Oyster Sauce,2 Ts
flesh,olive oil,1/2 Ts
flesh,pepper,1/2 teaspoon
flesh,chosun dance,300g
flesh,salt,1 tsp
flesh,chilli powder,2 Ts
flesh,soy sauce,1Ts
flesh,fish sauce,1/2Ts
flesh,chopped garlic,1/2Ts
flesh,plum concentrate,1 tsp
flesh,lemon juice,1/2 Ts
flesh,Sesame,1 tsp
Rose Pasta,spaghetti noodles,100 grams
Rose Pasta,White Mushroom,5 pieces
Rose Pasta,oyster mushroom,handful
Rose Pasta,Cherry tomato,5 pieces
Rose Pasta,tomato sauce,100 grams
Rose Pasta,Whipped cream (for cooking),100 grams
Rose Pasta,salt,1 tsp
Rose Pasta,pepper,1/3 ts
Rose Pasta,dried basil,1/3 ts
Rose Pasta,olive oil,1 tsp
Stir-fried marbled bean sprouts,marbled,150g
Stir-fried marbled bean sprouts,bean sprouts,150g
Stir-fried marbled bean sprouts,Oyster Sauce,1 tsp
Stir-fried marbled bean sprouts,olive oil,1 tsp
Stir-fried marbled bean sprouts,Sesame oil,1 tsp
Stir-fried marbled bean sprouts,soy sauce,1/2Ts
Stir-fried marbled bean sprouts,per dish,1/2Ts
Stir-fried marbled bean sprouts,pepper,1/3 ts
katsudon,Pork cutlet on the market,One
katsudon,rice,1 serving
katsudon,oyster mushroom,50g
katsudon,enoki mushroom,1 fan
katsudon,whole garlic,Three
katsudon,crown of chrysanthemum,One
katsudon,onion,2-Jan
katsudon,egg,One
katsudon,Katsuobushi Broth,100ml
katsudon,Teriyaki Sauce,100ml
katsudon,soy sauce,1 t
katsudon,pepper,1/3t
katsudon,olive oil,1T
Leek Jeon,chives,1/3 layer
Leek Jeon,flour,1 cup
Leek Jeon,chicken,150g
Leek Jeon,water,1 and a half cups
Leek Jeon,salt,1 tsp
Leek Jeon,cooking oil,4 Ts
seafood highlight,rice,1 bowl
seafood highlight,High Rice Solids,One
seafood highlight,water,350 ml
seafood highlight,crab,1 grain
seafood highlight,medium and low shrimp,50g
seafood highlight,lily clam,Three
seafood highlight,onion,1/3 piece (large)
seafood highlight,Squid (ring shape),50g
seafood highlight,white wine,1 tsp
seafood highlight,olive oil,1 tsp
seafood highlight,chopped garlic,1 tsp
seafood highlight,pepper,1/3 ts
aliooligo,spaghetti noodles,100 grams
aliooligo,olive oil,4 Ts
aliooligo,garlic,page 10
aliooligo,peperoncino,2
aliooligo,parsley,3 strands
aliooligo,Parmesan Cheese,1.5Ts
aliooligo,salt,0.5 ts
 egg roll,egg,4 pieces
 egg roll,Carrots (chopped),3 spoons
 egg roll,Green onion (sliced),2 spoons
 egg roll,salt,1 tsp
 egg roll,cooking oil,3 spoons
 egg roll,onion,1/4 piece (large)
Steak Don,fillet,200g
Steak Don,water,3 tablespoons
Steak Don,soy sauce,1 spoon
Steak Don,honey,1/2 spoon
Steak Don,butter,1 spoon
Steak Don,rice,1 bowl
Kimchi Spaghetti with Tomato Sauce,spaghetti noodles,3 servings
Kimchi Spaghetti with Tomato Sauce,Kimchi,200g
Kimchi Spaghetti with Tomato Sauce,bacon,100 grams
Kimchi Spaghetti with Tomato Sauce,Canned Tomatoes (Hall),400g
Kimchi Spaghetti with Tomato Sauce,white sugar,1 tsp
Kimchi Spaghetti with Tomato Sauce,cooking oil,a little
Chicken Teriyaki,chicken leg meat,250g
Chicken Teriyaki,potato starch,2 spoons
Chicken Teriyaki,dark soy sauce,2.5 tablespoons
Chicken Teriyaki,water,2.5 tablespoons
Chicken Teriyaki,Mirin (Mirin),2.5 tablespoons
Chicken Teriyaki,Rice wine,2.5 spoons
Chicken Teriyaki,corn syrup,1 spoon
Chicken Teriyaki,white sugar,1/2 teaspoon
Gochujang Smoked Duck Gimbap,rice,1 bowl
Gochujang Smoked Duck Gimbap,hot radishes,handful
Gochujang Smoked Duck Gimbap,soybean paste,1/2 spoon
Gochujang Smoked Duck Gimbap,tuna can,1 can (small)
Gochujang Smoked Duck Gimbap,mayonnaise,1/3 spoon
Gochujang Smoked Duck Gimbap,chili pepper paste,1/2 spoon
Gochujang Smoked Duck Gimbap,vinegar,1 teaspoon
Gochujang Smoked Duck Gimbap,oligosaccharide,1 teaspoon
Gochujang Smoked Duck Gimbap,mayonnaise,1.5 spoons
Gochujang Smoked Duck Gimbap,pepper,a little
Gochujang Smoked Duck Gimbap,salt,a little
Gochujang Smoked Duck Gimbap,Lemon juice (optional),1/3 teaspoon
Fried egg,egg,4 pieces
Fried egg,perilla oil,2 spoons
Fried egg,green onion,Appropriate amount
Fried egg,parsley powder,a little
Fried egg,black sesame,a little
Fried egg,Salt (or Korean soy sauce),a little
zucchini pancake,squash,One
zucchini pancake,Sweet Potato Starch,5 Ts
zucchini pancake,dried shrimp,12 horses
zucchini pancake,salt,0.3 Ts
zucchini pancake,green pepper,1 (medium)
zucchini pancake,cooking oil,2.5 tbsp
Sausage corn and potato croquettes,sausage,4 pieces
Sausage corn and potato croquettes,boiled potatoes,2
Sausage corn and potato croquettes,bread crumbs,25g
Sausage corn and potato croquettes,flour,10g
Sausage corn and potato croquettes,onion,1/4 piece (large)
Sausage corn and potato croquettes,egg,One
Sausage corn and potato croquettes,canned corn,180g
street toast,bread,2 pages (large)
street toast,onion,1/6 piece (large)
street toast,carrot,1/5 piece
street toast,cabbage,handful
street toast,egg,One
street toast,Cheddar Cheese,1 page
street toast,butter,1 tsp
Perilla bukkake seaweed soup,Perilla Sesame Powder,2 tbsp
Perilla bukkake seaweed soup,dried pollack,wisp
Perilla bukkake seaweed soup,Seaweed,2 zoom
Perilla bukkake seaweed soup,Sesame oil,1 tsp
Perilla bukkake seaweed soup,water,1L
Perilla bukkake seaweed soup,Joseon Soy Sauce,1 tbsp
How to trim a cockle,cockle,1kg
meatball pancake,Pork Neck,600g
meatball pancake,Chives,wisp
meatball pancake,onion stuffing,One
meatball pancake,garlic,4 pills
meatball pancake,egg,4 pieces
meatball pancake,pepper,a little
meatball pancake,salt,a little
meatball pancake,starch powder,200g
meatball pancake,glutinous rice flour,40g
meatball pancake,Sesame oil,3 tbsp
 Quail Egg Beef Soup,beef,300g
 Quail Egg Beef Soup,quail eggs,50 pills
 Quail Egg Beef Soup,whole garlic,20 to 30 tablets
 Quail Egg Beef Soup,onion,2-Jan
 Quail Egg Beef Soup,green onion,1-2 units
 Quail Egg Beef Soup,green and red pepper,One
 Quail Egg Beef Soup,bottled water,1 cup
 Quail Egg Beef Soup,soy sauce,8T
 Quail Egg Beef Soup,Kelp broth,600ml
 Quail Egg Beef Soup,sugar,2T
 Quail Egg Beef Soup,honey,1T
 Quail Egg Beef Soup,whole black pepper,4-6 eggs
Mussel Tomato Fusilli Stew,fujili,160g
Mussel Tomato Fusilli Stew,mussel,15
Mussel Tomato Fusilli Stew,tomato puree,240ml
Mussel Tomato Fusilli Stew,tomato,3-Jan
Mussel Tomato Fusilli Stew,onion,4-Jan
Mussel Tomato Fusilli Stew,garlic,5 pieces
Mussel Tomato Fusilli Stew,white wine,a little
Mussel Tomato Fusilli Stew,Matsutake,One
Mussel Tomato Fusilli Stew,green bell pepper,4-Jan
Mussel Tomato Fusilli Stew,red bell pepper,4-Jan
Mussel Tomato Fusilli Stew,shrimp,4 pieces
Mussel Tomato Fusilli Stew,chilli pepper,One
Crunchy Eggplant Red Pepper Water Kimchi,crunchy red pepper,30
Crunchy Eggplant Red Pepper Water Kimchi,chives,20g
Crunchy Eggplant Red Pepper Water Kimchi,radish,500g
Crunchy Eggplant Red Pepper Water Kimchi,carrot,100g
Crunchy Eggplant Red Pepper Water Kimchi,garlic,5 pieces
Crunchy Eggplant Red Pepper Water Kimchi,ginger,10g
Crunchy Eggplant Red Pepper Water Kimchi,radish juice,50g
Crunchy Eggplant Red Pepper Water Kimchi,onion juice,50g
Crunchy Eggplant Red Pepper Water Kimchi,plum syrup,1/3 cup
Crunchy Eggplant Red Pepper Water Kimchi,fish sauce,1/4 cup
Crunchy Eggplant Red Pepper Water Kimchi,salt,1Ts
Crunchy Eggplant Red Pepper Water Kimchi,glutinous rice paste,1/2 cup
Crunchy Eggplant Red Pepper Water Kimchi,water,2L
Vegetable Steamed Egg Frittata,egg,6 pieces
Vegetable Steamed Egg Frittata,Ice Plant (Barahu),150g
Vegetable Steamed Egg Frittata,bacon,Chapter 4
Vegetable Steamed Egg Frittata,onion small,One
Vegetable Steamed Egg Frittata,cocktail shrimp,30g
Vegetable Steamed Egg Frittata,sweet potato small,One
Vegetable Steamed Egg Frittata,Sweet pumpkin,a little
Vegetable Steamed Egg Frittata,Cherry tomato,8
Vegetable Steamed Egg Frittata,olive,10g
Vegetable Steamed Egg Frittata,take it,2
Vegetable Steamed Egg Frittata,whipping cream,1/2 cup
Vegetable Steamed Egg Frittata,bread crumbs,3Ts
Vegetable Steamed Egg Frittata,Parmesan Cheese,2Ts
Vegetable Steamed Egg Frittata,cheese,1Ts
Ricotta Cheese,milk,1000ml
Ricotta Cheese,whipping cream,500ml
Ricotta Cheese,Lemon juice (juice of one lemon),4 tbsp
Ricotta Cheese,salt,2 teaspoons
Tangerine Cheong,medium tangerine,6 pieces
Tangerine Cheong,white sugar,500g
Tangerine Cheong,Glass jar to store tangerine syrup,2
Tangerine Cheong,baking soda,5TS
Pork Marinated Kimchi Jjim,old paper,half-abandonment
Pork Marinated Kimchi Jjim,pork neck,400g
Pork Marinated Kimchi Jjim,chili pepper paste,1 tbsp
Pork Marinated Kimchi Jjim,chilli powder,1 tbsp
Pork Marinated Kimchi Jjim,corn syrup,2 tbsp
Pork Marinated Kimchi Jjim,garlic,1 tbsp
Pork Marinated Kimchi Jjim,soy sauce,1 tbsp
Pork Marinated Kimchi Jjim,Plum juice (I didn't like it because I made it at home),one with ladle
Pork Marinated Kimchi Jjim,Kimchi Soup,2 ladles
Pork Marinated Kimchi Jjim,Beef bone broth (you can leave it out if you don't have it),2 ladles
Chungmu Gimbap,Half-dried squid,2
Chungmu Gimbap,Sesame oil,1 spoon
Chungmu Gimbap,ginger extract,1 spoon
Chungmu Gimbap,plum extract,2 tablespoons
Chungmu Gimbap,green onion,a little
Chungmu Gimbap,honey,1 spoon
Chungmu Gimbap,house soy sauce,1 spoon
Chungmu Gimbap,garlic,2 tablespoons
Chungmu Gimbap,chilli powder,5 tablespoons
Chungmu Gimbap,Sesame,brimfully
Chungmu Gimbap,rice,1 serving
Chungmu Gimbap,salt to taste,1/2 spoon
Chungmu Gimbap,Sesame,1 spoon
sweet pumpkin yokan,boiled pumpkin,200g
sweet pumpkin yokan,agar,8g
sweet pumpkin yokan,water,100
sweet pumpkin yokan,soy milk,150g
sweet pumpkin yokan,Gyrofructose,60g
sweet pumpkin yokan,agave syrup,2 Ts
Pork backbone kimchi stew,pork backbone,4 roots
Pork backbone kimchi stew,Kimjang Kimchi,1 give up
Pork backbone kimchi stew,chili pepper paste,1 spoon
Pork backbone kimchi stew,chilli powder,1 spoon
Pork backbone kimchi stew,plum extract,1 spoon
Pork backbone kimchi stew,garlic,1 spoon
Pork backbone kimchi stew,ginger extract,1/2 spoon
Pork backbone kimchi stew,cooking wine,1 spoon
Whole Wheat Banana Pine Nut Bread,whole wheat flour,300g
Whole Wheat Banana Pine Nut Bread,baking powder,3ts
Whole Wheat Banana Pine Nut Bread,banana,One
Whole Wheat Banana Pine Nut Bread,skimmed milk,160g
Whole Wheat Banana Pine Nut Bread,cooking oil,2 Ts
Whole Wheat Banana Pine Nut Bread,dried pine nuts,20g
Bacon Cheese Grilled Rice Balls,rice,2 air
